110 DRLS, 9
110 NYL, 718
110AK, 1140
110AWSU2, 100
110AWU1, 283
110CEDDHR, 3049
110CHE, 65
110DDG, 480
110EM, 272
110EYU1, 165
110FKB, 191
110FKBM, 2
110HHR, 85
110JTKD1, 22
110KI, 1390
110KK1, 3
110KTB07, 189
110KTB98, 1146
110KZY1, 419
110KZY2, 1080
110MCC1, 2987
110MMM, 783
110MNM1, 636
110MPN, 17500
110MS1, 249
110MY1, 602
110MYI, 120
110NKY, 1030
110P, 7
110PE1, 20
110PIE1, 18
110PPAC1, 2499
110RAH1, 102
110SACCOS, 1350
110SFD1, 5
110SL, 104
110SMM, 105
110TB1, 97
110TBK1, 30
110TBS1, 50
110TD1, 7040
110UI, 15
110UN, 135
11AJZ, 4
11BC11, 748
11BKGG, 78
11BKGL, 63
11BKIT, 52
11KB03, 197
11KB06, 54
11KB07, 300
11KB09, 9365
11SLB, 3
12KKI1T1, 59
12KKI2T1, 7
12KKI3S1, 10456
12KKI4S1, 12225
12KKI5S1, 13635
12KKI6S1, 13376
12KKI6T1, 367
12KKI7S1, 12953
12KKI7T1, 186
12VUDK1, 5574
13NWT1, 5477
14MKML1, 227
14TKKT1, 17
14TYM1, 31295
15BKB1, 471
15BMWMF, 1154
15DZKB1, 1731
15MKZW1, 10
16NNN21, 1
16NNN31, 4
16NNN41, 4
17MBN1, 12
17MBSC1, 30
17TMN1, 2921
18TM1, 4
18TWK11, 2
18TWK21, 1
18TWK31, 2
18TWWW1, 76
19NMS1, 11
